"bike","date","type"
1432,329,"기타 "
2963,329,"기타 "
1976,329,"타이어 "
2170,330,"안장"
1801,330,"단말기"
614,330,"단말기"
3697,330,"기타 "
1412,331,"타이어 "
1556,331,"타이어 "
1178,331,"기타 "
944,332,"단말기"
843,332,"타이어 "
2593,332,"체인"
2031,332,"체인"
574,333,"타이어 "
4576,333,"체인"
682,333,"기타 "
3242,333,"체인"
925,333,"타이어 "
2163,333,"기타 "
3628,333,"타이어 "
1750,334,"안장"
1750,334,"파손"
2445,334,"타이어 "
3823,334,"안장"
690,334,"체인"
1558,335,"타이어 "
1558,335,"파손"
1295,335,"체인"
2322,335,"기타 "
2929,335,"타이어 "
3466,336,"체인"
4517,336,"타이어 "
3004,336,"체인"
616,336,"단말기"
2233,336,"체인"
2233,336,"페달"
3640,336,"체인"
4051,336,"타이어 "
2177,336,"기타 "
995,336,"체인"
1540,337,"체인"
1540,337,"페달"
616,337,"단말기"
1726,337,"기타 "
3716,337,"체인"
2388,337,"타이어 "
626,337,"단말기"
2423,338,"타이어 "
631,338,"단말기"
3419,338,"단말기"
1316,339,"기타 "
3593,339,"체인"
3593,339,"기타 "
3376,339,"체인"
2141,339,"체인"
405,339,"타이어 "
3847,339,"기타 "
2189,340,"타이어 "
4576,340,"체인"
539,340,"기타 "
1619,340,"단말기"
2445,340,"안장"
756,340,"기타 "
3108,341,"잠금장치 불량"
1178,341,"단말기"
1292,341,"타이어 "
3110,341,"기타 "
410,342,"단말기"
558,342,"타이어 "
1725,342,"체인"
1725,342,"기타 "
854,342,"페달"
4514,342,"기타 "
1624,343,"타이어 "
908,343,"타이어 "
131,343,"기타 "
648,343,"타이어 "
648,343,"파손"
942,343,"안장"
1944,343,"체인"
1944,343,"파손"
1647,344,"타이어 "
193,344,"기타 "
3559,344,"안장"
4060,344,"기타 "
4488,345,"기타 "
2277,345,"단말기"
631,345,"단말기"
4596,345,"단말기"
4596,345,"잠금장치 불량"
2424,345,"타이어 "
2424,345,"기타 "
618,346,"기타 "
167,346,"기타 "
3208,346,"단말기"
1771,346,"단말기"
1023,346,"타이어 "
3214,347,"체인"
3214,347,"페달"
1836,347,"안장"
3251,347,"안장"
68,347,"기타 "
2700,347,"체인"
2700,347,"파손"
3222,347,"안장"
425,347,"타이어 "
2318,348,"단말기"
1390,348,"체인"
659,349,"체인"
659,349,"안장"
3234,349,"체인"
3375,349,"기타 "
3518,349,"체인"
3518,349,"페달"
217,350,"체인"
217,350,"단말기"
