자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-22334,2020-03-13 17:37:19,293,"충북 미래??,14""",2020-03-13 17:43:19,00239,유스호스텔 앞,1,5,0.0,
SPB-16955,2020-03-14 15:50:47,314,"국립현대미술??,8""",2020-03-14 16:24:55,00302,경복궁역 4번출구 뒤,10,33,3180.0,
SPB-12471,2020-03-15 20:59:35,1199,"우장산역 3?萍瘦?,2""",2020-03-15 21:14:27,01127,화곡역(에이스정형외과앞) 버스정류장,1,14,1540.0,
SPB-30233,2020-03-16 13:55:07,1408,먹골역 6번출구 앞,0,2020-03-16 14:10:09,01429,"장안?峠閨?,0""",15,0.0,
SPB-21872,2020-03-17 15:28:28,930,"구 서부경찰서 건너??,6""",2020-03-17 15:49:29,00415,DMC역 9번출구 앞,1,19,4160.0,
SPB-13512,2020-03-18 17:31:06,816,신용산역 6번출구 앞,3,2020-03-18 18:22:19,252,"보라매역4번출??,5""",50,7740.0,
SPB-18376,2020-03-20 12:17:50,1308,"안암로터리 버스정류장 ??,11""",2020-03-20 12:25:06,00659,제기역1번출구,1,6,860.0,
SPB-19711,2020-03-21 13:51:10,593,"자양?上鄲さ勇?,2""",2020-03-21 14:53:10,00593,자양중앙나들목,5,56,11190.0,
SPB-06803,2020-03-23 07:38:54,1019,다성이즈빌아파트(호원대 대각선 맞은편),3,2020-03-23 08:33:57,2362,"신사동 가로수길 입??,3""",54,13190.0,
SPB-20658,2020-03-23 09:14:53,1401,극동늘푸른아파트,2,2020-03-23 09:33:15,1447,"면목역 3번?瘦?,11""",18,3540.0,
SPB-03395,2020-03-23 20:13:47,1131,꿈돌이공원 앞,6,2020-03-23 20:29:37,1166,"강서구립등빛도서??,1""",15,0.0,
SPB-23133,2020-03-27 08:17:18,2059,보라매공원 정문,1,2020-03-27 08:37:02,2156,"농협 관악문성지??,12""",19,1890.0,
SPB-09270,2020-03-27 20:44:09,1827,독산보도육교 앞 자전거 보관소,17,2020-03-27 21:13:36,01998,"고척교 ?냈湯?,6""",28,5410.0,
SPB-03228,2020-03-28 14:14:08,1259,"방이역 1?萍瘦?,9""",2020-03-28 14:33:22,01209,잠실나루역 (2번 출구 쪽),18,19,2850.0,
SPB-14705,2020-03-28 23:03:18,166,가재울 초등학교,12,2020-03-29 00:00:50,166,"가재울 초?紵閨?,9""",57,10350.0,
SPB-19715,2020-03-30 09:56:34,1351,안암2교 옆,7,2020-03-30 10:49:22,502,"뚝섬유원지역 1번출구 ??,7""",49,12040.0,
SPB-13525,2020-03-30 20:17:11,2108,"은천?±횝씽?,17""",2020-03-30 20:24:13,02112,서울대입구역 마에스트로,5,6,970.0,
SPB-13655,2020-03-31 22:36:25,2613,"잠실나들??,1""",2020-04-01 00:12:27,02613,잠실나들목,10,95,2160.0,
SPB-18412,2020-04-01 07:35:42,1957,구일고등학교 정문,13,2020-04-01 08:13:01,00229,"양평1 보행육교 ??,1""",36,6370.0,
SPB-09747,2020-04-03 08:46:56,1913,"구로리공??,6""",2020-04-03 09:05:34,01906,신도림역 1번 출구 앞,20,17,2220.0,
SPB-22508,2020-04-03 15:11:41,117,홍은사거리,4,2020-04-03 15:50:48,00907,"CJ 드림?쳤?,10""",37,9660.0,
SPB-30710,2020-04-05 10:06:48,1539,419민주묘지역,0,2020-04-05 10:23:27,1539,"419민주?┒熾?,0""",16,0.0,
SPB-11255,2020-04-06 19:08:59,542,강변역 4번출구 뒤,15,2020-04-06 19:20:15,576,"광나루역 3번 출??,5""",10,1480.0,
SPB-18628,2020-04-06 21:26:06,2113,"관악동작견인차량?린紈?,5""",2020-04-06 21:41:10,01975,대림역 1번 출입구 밑,4,14,1330.0,
SPB-00397,2020-04-10 08:12:04,438,"성산2-1 공영?鈴汰?,13""",2020-04-10 08:22:23,00152,마포구민체육센터 앞,13,9,1560.0,
SPB-31011,2020-04-11 05:40:45,816,신용산역 6번출구 앞,0,2020-04-11 05:54:59,838,"숙대입구역 4번출??,0""",14,0.0,
SPB-09156,2020-04-11 16:55:59,1319,"종암사거리 분?測?,2""",2020-04-11 17:26:18,01320,LG베스트샵 종암점,5,29,1980.0,
SPB-14150,2020-04-11 15:53:33,3525,금호스포츠센터앞,7,2020-04-11 17:34:29,03525,"금호스?胎太씽槁?,1""",100,10600.0,
SPB-11398,2020-04-12 15:54:34,815,LIG강촌아파트 103동앞,5,2020-04-12 16:56:08,02002,"노들역 1번?瘦?,16""",59,9530.0,
SPB-30357,2020-04-12 17:30:59,3519,"용답역 1번 ?瘦?,0""",2020-04-12 17:45:59,00583,청계천 생태교실 앞,0,15,0.0,
SPB-24116,2020-04-14 22:02:41,157,애오개역 4번출구 앞,12,2020-04-14 22:05:45,426,"서울신용보증재??,4""",2,300.0,
SPB-31884,2020-04-15 20:13:33,765,오목교역 3번출구,0,2020-04-15 21:25:08,1151,"마곡역1번출??,0""",72,0.0,
SPB-24286,2020-04-15 21:14:44,144,공덕역 8번출구,1,2020-04-15 21:37:38,166,"가재울 ?茄紵閨?,18""",22,5260.0,
SPB-31832,2020-04-18 10:59:15,1436,영풍마드레빌,0,2020-04-18 11:01:01,01436,"영풍마드레??,0""",2,0.0,
